,Variable,Dollar Impact,,
17,C(waterfront)[T.1.0],"337,780.33",,
35,C(condition)[T.5],"174,135.47",,
41,C(condition)[T.4],"145,846.97",,
45,C(condition)[T.3],"128,815.16",,
53,C(condition)[T.2],"87,360.03",,
63,C(renovated)[T.1],"42,260.43",,"86,775.44"
69,C(floors)[T.2.0],"11,448.94",,
73,C(floors)[T.1.5],"9,218.91",,
75,C(floors)[T.2.5],"1,225.86",,43560
76,sqft_living,159.48,," 150,282.00 "
78,sqft_lot,3.45,,
79,age,-168.92,," $(19,425.80)"
81,C(floors)[T.3.0],"-22,470.55",,
82,C(has_basement)[T.1],"-23,634.14",,
83,C(floors)[T.3.5],"-40,433.65",,
84,Intercept,"-188,190.80",,
,,,,
,Model,,,
